file_first_name,code_extension,cnt
/Dockerfile,FALSE,656048
,TRUE,628135
/README.md,FALSE,371794
/index.js,TRUE,296478
/index.html,FALSE,261066
/__init__.py,TRUE,226674
/package.json,FALSE,224673
/LICENSE,FALSE,199093
/Makefile,FALSE,135752
/.gitignore,FALSE,123402
/doc.go,TRUE,109121
/CMakeLists.txt,FALSE,90079
/BUILD,FALSE,87590
/pom.xml,FALSE,78352
/apt.dat,FALSE,70154
/.travis.yml,FALSE,60622
/index.md,FALSE,53869
/package-info.java,TRUE,51050
/README,FALSE,50247
/.npmignore,FALSE,47856
/summary.txt,FALSE,47698
/OWNERS,FALSE,41632
/readme.md,FALSE,41381
/data.json,FALSE,38206
/Makefile.am,FALSE,37097
/test.js,TRUE,35848
/index.ts,TRUE,35204
/CHANGELOG.md,FALSE,34712
/Contents.json,FALSE,34184
/Main.js,TRUE,33652
/main.yml,FALSE,31972
/strings.xml,FALSE,31143
/AssemblyInfo.cs,TRUE,30995
/types.go,TRUE,30204
/build.gradle,FALSE,28584
/django.po,FALSE,25667
/main.go,TRUE,24543
/LICENSE.txt,FALSE,23970
/properties.json,FALSE,23816
/main.js,TRUE,23687
/ic_launcher.png,FALSE,23597
/index.d.ts,TRUE,23391
/license,FALSE,22968
/register.go,TRUE,22712
/README.txt,FALSE,22260
/django.mo,FALSE,21836
/no.txt,FALSE,20365
/package.html,FALSE,20112
/BUILD.bazel,FALSE,19638
/index.php,TRUE,19594
/interface.go,TRUE,19476
/.gitkeep,FALSE,19326
/BUILD.gn,FALSE,19161
/icon.png,FALSE,19030
/CONTRIBUTING.md,FALSE,18987
/.project,FALSE,18906
/yes.txt,FALSE,18847
/index.rst,FALSE,18216
/optimal.graphml,FALSE,18195
/zz_generated.deepcopy.go,TRUE,18125
/style.css,FALSE,17907
/favicon.ico,FALSE,17827
/package-summary.html,FALSE,16793
/main.cpp,TRUE,16577
/package-frame.html,FALSE,16436
/README.MD,FALSE,16418
/client.go,TRUE,16239
/errors.go,TRUE,16173
/packages.config,FALSE,16059
/package-tree.html,FALSE,16036
/manifest.json,FALSE,15868
/bower.json,FALSE,15761
/composer.json,FALSE,15583
/Makefile.in,FALSE,15371
/meta.yaml,FALSE,14789
/actual.js,TRUE,14753
/chocolateyInstall.ps1,FALSE,13875
/Info.plist,FALSE,13865
/plugin.js,TRUE,13476
/AndroidManifest.xml,FALSE,13403
/input.scss,FALSE,13315
/build.sh,TRUE,13227
/command_summary.txt,FALSE,13226
/short_summary.txt,FALSE,13225
/.classpath,FALSE,13221
/models.py,TRUE,13169
/tsconfig.json,FALSE,13157
/expected_output.css,FALSE,12983
/utils.js,TRUE,12855
/input.js,TRUE,12628
/.cvsignore,FALSE,12570
/.keep,FALSE,12399
/PKGBUILD,FALSE,12161
/go.mod,FALSE,12049
/readme.txt,FALSE,12020
/LICENSE.md,FALSE,11971
/Readme.md,FALSE,11897
/util.go,TRUE,11870
/service.go,TRUE,11729
/AUTHORS,FALSE,11605
/main.c,TRUE,11535
/saved_profile.prof,FALSE,11446
/logo.png,FALSE,11439
/v0.xml,FALSE,11392
/utils.py,TRUE,11201
/plugin.min.js,TRUE,11156
/editor_plugin.js,TRUE,10845
/info.yml,FALSE,10844
/build.properties,FALSE,10824
/Program.cs,TRUE,10797
/generated.pb.go,TRUE,10432
/editor_plugin_src.js,TRUE,10360
/MANIFEST.MF,FALSE,10303
/.bower.json,FALSE,10187
/options.json,FALSE,10152
/01.md,FALSE,10062
/generated.proto,FALSE,10059
/02.md,FALSE,10046
/03.md,FALSE,10034
/04.md,FALSE,10025
/05.md,FALSE,10021
/06.md,FALSE,10014
/07.md,FALSE,10014
/DEPS,FALSE,9984
