repo_name,high_ccp_quality_avg,high_ccp_quality_std,files
metasfresh/metasfresh,1.0,0.0,2207
intuit/QuickBooks-V3-Java-SDK,1.0,0.0,277
structr/structr,0.99629629629629624,0.060858061945018471,270
aws/aws-sdk-java,1.0,0.0,266
hazelcast/hazelcast,0.040540540540540543,0.19766893954601203,222
esig/dss,1.0,0.0,205
awsdocs/aws-doc-sdk-examples,1.0,0.0,201
gchq/stroom,1.0,0.0,153
mars-sim/mars-sim,0.0,0.0,147
AndroidX/androidx,0.0,0.0,145
VietOpenCPS/opencps-v2,1.0,0.0,144
micromata/projectforge,1.0,0.0,141
JabRef/jabref,0.0,0.0,140
jenetics/jenetics,1.0,0.0,134
dbeaver/dbeaver,0.94262295081967218,0.23352067627035974,122
vespa-engine/vespa,0.64406779661016955,0.48083658806725948,118
jenkinsci/jenkins,1.0,0.0,115
didi/DoraemonKit,1.0,0.0,114
axelor/axelor-business-suite,1.0,0.0,112
aws/aws-sdk-java-v2,1.0,0.0,110
MyRobotLab/myrobotlab,0.967391304347826,0.17858337274913311,92
OpenLiberty/open-liberty,0.75000000000000011,0.43538539199247328,92
aspose-words/Aspose.Words-for-Java,1.0,0.0,91
timmolter/XChange,1.0,0.0,90
bazelbuild/bazel,0.348314606741573,0.47913567056413764,89
Telegram-FOSS-Team/Telegram-FOSS,1.0,0.0,86
apache/ignite,0.012048192771084338,0.10976425998969035,83
apereo/cas,0.012345679012345678,0.1111111111111111,81
fogbeam/cas_mirror,0.012345679012345678,0.1111111111111111,81
shardingjdbc/sharding-jdbc,0.05,0.21932000780317515,80
apache/incubator-shardingsphere,0.05,0.21932000780317515,80
line/armeria,0.0,0.0,79
zstackio/zstack,0.050632911392405069,0.22064789082034389,79
GerritCodeReview/gerrit,0.026315789473684209,0.16113631583445662,76
eXist-db/exist,0.0,0.0,69
Sage-Bionetworks/Synapse-Repository-Services,1.0,0.0,67
yahoo/pulsar,0.0,0.0,65
pepstock-org/Charba,1.0,0.0,62
khartec/waltz,1.0,0.0,60
splicemachine/spliceengine,0.0,0.0,55
