repo_name,high_ccp_quality_avg,high_ccp_quality_std,files
structr/structr,0.9962962962962962,0.06085806194501847,270
hazelcast/hazelcast,0.04054054054054054,0.19766893954601203,222
dbeaver/dbeaver,0.9426229508196722,0.23352067627035974,122
vespa-engine/vespa,0.6440677966101696,0.4808365880672595,118
MyRobotLab/myrobotlab,0.967391304347826,0.1785833727491331,92
OpenLiberty/open-liberty,0.7500000000000001,0.4353853919924733,92
bazelbuild/bazel,0.348314606741573,0.47913567056413764,89
apache/ignite,0.012048192771084338,0.10976425998969035,83
apereo/cas,0.012345679012345678,0.1111111111111111,81
fogbeam/cas_mirror,0.012345679012345678,0.1111111111111111,81
shardingjdbc/sharding-jdbc,0.05,0.21932000780317515,80
apache/incubator-shardingsphere,0.05,0.21932000780317515,80
zstackio/zstack,0.05063291139240507,0.2206478908203439,79
GerritCodeReview/gerrit,0.02631578947368421,0.16113631583445662,76
wso2/devstudio-tooling-esb,0.9444444444444441,0.23121228232266422,54
lunisolar/magma,0.981132075471698,0.13736056394868904,53
quarkusio/quarkus,0.2156862745098039,0.41539020162714857,51
apache/beam,0.20833333333333337,0.4104140790860576,48
eclipse/kapua,0.9374999999999996,0.24462302739504088,48
apache/flink,0.11363636363636363,0.3210382206405504,44
dhis2/dhis2-android-sdk,0.8409090909090909,0.36998942902446824,44
wildfly/wildfly,0.9729729729729728,0.1643989873053573,37
hortonworks/cloudbreak,0.5675675675675674,0.5022472023339226,37
dhis2/dhis2-core,0.8,0.40583972495671383,35
prestodb/presto,0.7272727272727271,0.45226701686664544,33
apache/camel,0.4827586206896552,0.5085476277156078,29
jamesagnew/hapi-fhir,0.5172413793103449,0.5085476277156078,29
flowable/flowable-engine,0.9655172413793103,0.18569533817705186,29
graalvm/fastr,0.9642857142857142,0.18898223650461363,28
Azure/azure-sdk-for-java,0.03571428571428571,0.1889822365046136,28
micrometer-metrics/micrometer,0.22222222222222224,0.4236592728681617,27
yamcs/yamcs,0.9166666666666665,0.28232985128664,24
jcryptool/crypto,0.8695652173913042,0.344350221575091,23
theScrabi/NewPipe,0.9130434782608694,0.28810406552003043,23
zaproxy/zap-extensions,0.9130434782608694,0.28810406552003043,23
orientechnologies/orientdb,0.909090909090909,0.2942449431682499,22
SpongePowered/Sponge,0.09523809523809523,0.30079260375911915,21
BaseXdb/basex,0.9499999999999998,0.223606797749979,20
actiontech/dble,0.39999999999999997,0.5026246899500346,20
runelite/runelite,0.7500000000000001,0.4442616583193193,20
bcvsolutions/CzechIdMng,0.8999999999999999,0.30779350562554625,20
reportportal/commons-dao,0.8888888888888887,0.3233808333817773,18
redisson/redisson,0.29411764705882354,0.46966821831386213,17
wso2/carbon-apimgt,0.6470588235294118,0.49259218307188896,17
GoldenGnu/jeveassets,0.8823529411764705,0.33210558207753577,17
google/closure-compiler,0.125,0.3415650255319866,16
NationalSecurityAgency/ghidra,0.1875,0.4031128874149275,16
00-Evan/shattered-pixel-dungeon,0.1875,0.4031128874149275,16
telstra/open-kilda,0.7333333333333334,0.45773770821706344,15
fabric8io/kubernetes-client,0.06666666666666667,0.2581988897471611,15
wso2/carbon-identity-framework,0.4,0.50709255283711,15
crate/crate,0.5714285714285714,0.5135525910130955,14
CESNET/perun,0.8571428571428571,0.36313651960128146,14
Thatsmusic99/HeadsPlus,0.9285714285714285,0.2672612419124244,14
ibissource/iaf,0.07692307692307693,0.2773500981126146,13
rzwitserloot/lombok,0.07692307692307693,0.2773500981126146,13
wso2-extensions/identity-inbound-auth-oauth,0.08333333333333333,0.28867513459481287,12
reportportal/service-api,0.27272727272727276,0.46709936649691375,11
apache/hadoop,0.2,0.42163702135578385,10
Netflix/conductor,0.7,0.48304589153964794,10
CancerCollaboratory/dockstore,0.1,0.31622776601683794,10
IntellectualSites/PlotSquared,0.7,0.48304589153964794,10
languagetool-org/languagetool,0.3,0.48304589153964794,10
